ProjectID,Domain,PlannedStartDate,PlannedDurationDays,PlannedCost,TeamSize,Complexity,RiskLevel,NumChangeRequests,SprintVelocity,EarlyMilestonesPct,TechnicalDebtScore,ResourceUtilizationPct,ActualDurationDays,DelayDays,ActualCost,CostOverrunPct,CustomerSatisfaction,ProjectSuccess,PlannedEndDate,ActualEndDate,OnTime,MajorDelayFlag,CostOverrunBucket
PJT7574,AI/ML,2020-05-21,96,125578,4,3,Low,7,53.8,0.666,6.32,0.671,84,-12,102359,-0.1849,8.45,1,2020-08-25,2020-08-13,1,0,Under/OnBudget
PJT1193,Web App,2021-12-12,312,391744,2,5,Low,2,24.8,0.483,5.01,0.567,392,80,539431,0.377,7.47,0,2022-10-20,2023-01-08,0,1,25-50%
PJT8894,AI/ML,2020-07-06,35,29173,7,2,Low,8,48.9,0.82,6.04,0.713,36,1,30144,0.0333,8.12,1,2020-08-10,2020-08-11,0,0,<10%
PJT5274,Web App,2021-09-18,195,106299,6,3,High,4,45.1,0.749,5.01,0.442,281,86,168367,0.5839,7.38,0,2022-04-01,2022-06-26,0,1,>50%
PJT4897,Web App,2019-02-22,73,165145,8,3,Medium,2,38.2,0.945,7.92,0.925,93,20,229585,0.3902,7.16,0,2019-05-06,2019-05-26,0,1,25-50%
PJT9409,Data Engineering,2018-12-17,49,226778,8,3,Low,5,15.0,0.789,4.52,0.863,40,-9,184484,-0.1865,9.26,1,2019-02-04,2019-01-26,1,0,Under/OnBudget
PJT4582,Data Engineering,2020-01-25,41,121994,8,3,Low,5,35.1,0.609,4.67,0.758,42,1,130997,0.0738,9.31,1,2020-03-06,2020-03-07,0,0,<10%
PJT6083,Internal Tool,2020-01-13,242,63549,5,3,Medium,4,49.5,0.773,4.31,0.407,202,-40,47350,-0.2549,7.26,0,2020-09-11,2020-08-02,1,0,Under/OnBudget
PJT9129,Mobile App,2018-11-27,102,36567,4,2,High,6,36.8,0.46,3.3,0.769,118,16,42948,0.1745,6.9,0,2019-03-09,2019-03-25,0,0,10-25%
PJT6343,Web App,2020-10-18,256,109466,8,3,Medium,8,41.7,0.498,4.51,0.458,292,36,143302,0.3091,7.75,0,2021-07-01,2021-08-06,0,0,25-50%
PJT8517,Infrastructure,2018-02-13,39,27267,5,2,High,4,67.5,0.264,7.83,0.661,52,13,40781,0.4956,6.24,0,2018-03-24,2018-04-06,0,1,25-50%
PJT8789,Mobile App,2020-10-05,95,5000,4,4,Medium,3,43.8,0.398,7.63,0.774,113,18,6241,0.2482,7.65,0,2021-01-08,2021-01-26,0,0,10-25%
PJT4903,Web App,2019-10-30,172,166687,9,2,Low,6,15.0,0.775,4.93,0.597,193,21,189623,0.1376,8.64,1,2020-04-19,2020-05-10,0,0,10-25%
PJT2785,Mobile App,2020-10-02,291,292062,9,1,High,4,42.2,0.645,4.47,0.707,299,8,306139,0.0482,8.64,1,2021-07-20,2021-07-28,0,0,<10%
PJT8962,Web App,2019-11-28,96,5793,5,3,Medium,2,46.5,0.548,7.79,0.876,110,14,6745,0.1643,7.92,0,2020-03-03,2020-03-17,0,0,10-25%
PJT1523,Internal Tool,2021-11-27,208,29387,3,3,Medium,3,32.6,0.866,5.78,0.596,201,-7,29408,0.0007,9.81,1,2022-06-23,2022-06-16,1,0,<10%
PJT4296,Web App,2019-05-04,346,207520,5,4,High,1,56.0,0.478,3.03,0.514,438,92,280712,0.3527,6.79,0,2020-04-14,2020-07-15,0,1,25-50%
PJT7956,Infrastructure,2021-12-05,204,1165889,8,3,Low,9,23.1,0.595,6.35,0.807,259,55,1658244,0.4223,6.82,0,2022-06-27,2022-08-21,0,1,25-50%
PJT5479,Mobile App,2018-04-05,74,101210,9,3,Low,5,42.9,0.247,5.45,0.902,80,6,112616,0.1127,7.93,0,2018-06-18,2018-06-24,0,0,10-25%
PJT8711,AI/ML,2020-09-25,33,41208,4,4,Medium,3,22.9,0.697,3.43,0.618,30,-3,35806,-0.1311,6.98,0,2020-10-28,2020-10-25,1,0,Under/OnBudget
PJT6685,AI/ML,2019-10-26,337,79263,3,3,Low,4,40.6,0.757,5.02,0.803,363,26,85620,0.0802,8.47,1,2020-09-27,2020-10-23,0,0,<10%
PJT7647,Web App,2021-04-15,33,513935,9,1,Low,3,55.6,0.44,4.27,0.855,35,2,601253,0.1699,9.51,1,2021-05-18,2021-05-20,0,0,10-25%
PJT9560,Data Engineering,2021-02-26,340,45472,5,3,Low,4,42.6,0.818,8.3,0.657,321,-19,39047,-0.1413,8.35,1,2022-02-01,2022-01-13,1,0,Under/OnBudget
PJT8794,Infrastructure,2021-03-14,167,37834,6,5,Low,6,41.7,0.637,5.13,0.665,218,51,53596,0.4166,7.2,0,2021-08-28,2021-10-18,0,1,25-50%
PJT6590,Data Engineering,2018-05-19,380,55310,11,3,High,4,45.4,0.622,7.39,0.425,418,38,64912,0.1736,6.44,0,2019-06-03,2019-07-11,0,0,10-25%
PJT5383,Internal Tool,2021-04-15,295,31445,3,2,Low,2,46.2,0.783,5.94,0.627,264,-31,26297,-0.1637,8.22,1,2022-02-04,2022-01-04,1,0,Under/OnBudget
PJT1398,AI/ML,2018-11-09,419,114371,7,2,Medium,6,55.4,0.414,6.13,0.541,353,-66,92618,-0.1902,8.07,1,2020-01-02,2019-10-28,1,0,Under/OnBudget
PJT3151,Data Engineering,2018-02-07,105,693575,3,2,Medium,3,55.5,0.649,8.94,0.75,114,9,834371,0.203,8.6,1,2018-05-23,2018-06-01,0,0,10-25%
PJT6430,Web App,2018-11-14,278,145466,5,3,Medium,6,66.3,0.415,4.9,0.718,390,112,234084,0.6092,7.45,0,2019-08-19,2019-12-09,0,1,>50%
PJT4880,Web App,2019-12-01,121,72924,8,3,Low,2,47.5,0.437,4.73,0.666,135,14,84694,0.1614,8.13,0,2020-03-31,2020-04-14,0,0,10-25%
PJT1126,Web App,2020-12-19,149,69552,5,1,High,8,20.1,0.503,7.48,0.528,159,10,78023,0.1218,8.01,0,2021-05-17,2021-05-27,0,0,10-25%
PJT3087,Mobile App,2018-11-16,209,15126,15,5,Low,3,57.9,0.675,7.09,0.753,232,23,18818,0.2441,6.34,0,2019-06-13,2019-07-06,0,0,10-25%
PJT2770,Mobile App,2018-06-14,339,284854,6,4,High,6,65.2,0.546,7.71,0.894,457,118,428848,0.5055,6.59,0,2019-05-19,2019-09-14,0,1,>50%
PJT8025,Web App,2020-08-01,410,89913,4,3,High,4,81.9,0.745,7.63,0.546,544,134,137225,0.5262,6.59,0,2021-09-15,2022-01-27,0,1,>50%
PJT9438,Internal Tool,2021-12-07,279,79493,4,4,Medium,5,66.8,0.634,5.82,0.683,259,-20,74262,-0.0658,8.45,1,2022-09-12,2022-08-23,1,0,Under/OnBudget
PJT6925,Mobile App,2020-05-27,127,2000000,5,1,Medium,6,37.6,0.657,2.93,0.806,170,43,2876000,0.438,8.31,0,2020-10-01,2020-11-13,0,1,25-50%
PJT4318,Mobile App,2020-10-05,128,141281,5,3,Medium,1,47.8,0.294,8.21,0.682,145,17,178000,0.2599,7.28,0,2021-02-10,2021-02-27,0,0,25-50%
PJT3081,AI/ML,2020-03-30,263,40049,3,3,Medium,5,40.9,0.604,6.92,0.793,366,103,62753,0.5669,7.63,0,2020-12-18,2021-03-31,0,1,>50%
PJT3057,Web App,2021-02-16,75,59182,5,4,High,7,38.9,0.535,7.41,0.777,89,14,81576,0.3784,7.81,0,2021-05-02,2021-05-16,0,0,25-50%
PJT6287,Internal Tool,2021-11-25,47,391654,5,4,High,6,43.3,0.837,5.26,0.48,57,10,556579,0.4211,5.92,0,2022-01-11,2022-01-21,0,0,25-50%
PJT6903,Web App,2020-03-05,107,113088,7,2,Medium,6,64.3,0.635,5.51,0.857,105,-2,105862,-0.0639,8.66,1,2020-06-20,2020-06-18,1,0,Under/OnBudget
PJT6335,Data Engineering,2019-09-01,87,17572,7,5,Medium,7,21.2,0.721,3.42,0.719,111,24,25356,0.443,7.09,0,2019-11-27,2019-12-21,0,1,25-50%
PJT3989,Infrastructure,2021-06-10,90,297472,7,2,High,4,30.0,0.663,2.1,0.853,84,-6,287596,-0.0332,8.73,1,2021-09-08,2021-09-02,1,0,Under/OnBudget
PJT8575,Web App,2021-11-16,74,44277,2,4,High,3,63.3,0.705,5.7,0.76,93,19,58924,0.3308,7.22,0,2022-01-29,2022-02-17,0,1,25-50%
PJT6721,Web App,2018-07-08,36,934678,4,5,Medium,8,66.8,0.863,4.91,0.678,39,3,1051606,0.1251,6.61,0,2018-08-13,2018-08-16,0,0,10-25%
PJT8078,Internal Tool,2020-04-24,32,360792,7,2,Medium,4,35.1,0.695,6.41,0.619,32,0,404845,0.1221,7.5,0,2020-05-26,2020-05-26,1,0,10-25%
PJT1339,Infrastructure,2021-03-02,412,57712,5,4,Low,5,69.8,0.775,1.65,0.874,504,92,74177,0.2853,6.92,0,2022-04-18,2022-07-19,0,0,25-50%
PJT3728,Infrastructure,2020-02-18,130,459190,2,1,High,5,59.6,0.689,3.63,0.936,133,3,504099,0.0978,9.33,1,2020-06-27,2020-06-30,0,0,<10%
PJT2591,Infrastructure,2019-08-21,116,107090,8,3,Low,3,41.0,0.826,3.99,0.707,128,12,135640,0.2666,7.52,0,2019-12-15,2019-12-27,0,0,25-50%
PJT8843,Web App,2020-08-14,233,274671,8,3,Medium,9,15.0,0.822,7.55,0.581,243,10,306231,0.1149,7.9,0,2021-04-04,2021-04-14,0,0,10-25%
PJT6783,Mobile App,2019-01-30,70,176607,6,3,Low,8,20.0,0.917,5.83,0.517,74,4,194409,0.1008,9.71,1,2019-04-10,2019-04-14,0,0,10-25%
PJT4161,Web App,2019-05-25,387,35752,3,5,Low,6,35.1,0.419,3.57,0.406,552,165,59030,0.6511,6.46,0,2020-06-15,2020-11-27,0,1,>50%
PJT9175,Internal Tool,2021-12-19,289,45604,8,3,Medium,3,56.4,0.662,5.21,0.873,302,13,53452,0.1721,7.98,0,2022-10-04,2022-10-17,0,0,10-25%
PJT5629,AI/ML,2020-07-18,44,339746,6,3,High,5,56.4,0.511,4.89,0.856,49,5,429405,0.2639,7.37,0,2020-08-31,2020-09-05,0,0,25-50%
PJT7901,Mobile App,2021-06-28,127,66057,8,4,Low,5,38.0,0.78,3.0,0.509,132,5,73482,0.1124,7.22,0,2021-11-02,2021-11-07,0,0,10-25%
PJT3297,Web App,2021-03-25,342,60817,7,5,Medium,5,41.5,0.965,5.52,0.766,357,15,67586,0.1113,7.22,0,2022-03-02,2022-03-17,0,0,10-25%
PJT6450,Mobile App,2020-08-10,383,31378,8,1,Low,3,44.5,0.656,5.39,0.956,336,-47,23932,-0.2373,9.15,1,2021-08-28,2021-07-12,1,0,Under/OnBudget
PJT8290,Mobile App,2021-05-12,144,164114,6,5,Low,7,41.7,0.501,2.11,0.837,197,53,261663,0.5944,7.78,0,2021-10-03,2021-11-25,0,1,>50%
PJT5944,Infrastructure,2019-02-24,203,1172947,3,1,Medium,3,47.5,0.688,7.98,0.772,211,8,1186084,0.0112,9.15,1,2019-09-15,2019-09-23,0,0,<10%
PJT6318,AI/ML,2020-07-19,59,27418,7,4,Medium,0,44.5,0.661,3.58,0.78,54,-5,22228,-0.1893,8.94,1,2020-09-16,2020-09-11,1,0,Under/OnBudget
PJT4807,Internal Tool,2020-05-12,414,101627,6,2,Low,6,19.9,0.787,6.91,0.885,422,8,101261,-0.0036,8.88,1,2021-06-30,2021-07-08,0,0,Under/OnBudget
PJT1012,Mobile App,2020-06-27,73,537490,7,2,Medium,6,41.9,0.479,5.64,0.841,76,3,671648,0.2496,9.04,1,2020-09-08,2020-09-11,0,0,10-25%
PJT5034,Web App,2018-09-04,382,89718,3,3,Low,4,44.7,0.873,3.7,0.664,371,-11,87323,-0.0267,9.44,1,2019-09-21,2019-09-10,1,0,Under/OnBudget
PJT6530,Infrastructure,2019-02-09,219,169880,4,3,Medium,5,59.8,0.845,6.61,0.8,236,17,192321,0.1321,7.35,0,2019-09-16,2019-10-03,0,0,10-25%
PJT4433,Infrastructure,2019-02-23,200,27588,9,3,High,9,32.5,0.581,6.48,0.831,236,36,35387,0.2827,7.18,0,2019-09-11,2019-10-17,0,0,25-50%
PJT5633,AI/ML,2020-05-28,161,165044,7,1,High,5,48.1,0.645,3.67,0.736,178,17,213682,0.2947,6.92,0,2020-11-05,2020-11-22,0,0,25-50%
PJT3051,Infrastructure,2021-11-20,73,78860,9,3,Medium,4,53.4,0.544,5.23,0.697,88,15,107502,0.3632,7.35,0,2022-02-01,2022-02-16,0,0,25-50%
PJT4876,Mobile App,2021-10-24,61,322183,7,5,Medium,3,42.8,0.678,6.92,0.728,65,4,380240,0.1802,6.42,0,2021-12-24,2021-12-28,0,0,10-25%
PJT6908,AI/ML,2018-11-28,71,410390,6,3,High,6,18.7,0.476,6.21,0.554,110,39,776581,0.8923,6.89,0,2019-02-07,2019-03-18,0,1,>50%
PJT7130,Mobile App,2019-03-22,63,2000000,7,2,Low,2,60.2,0.748,4.27,0.633,72,9,2460600,0.2303,8.95,1,2019-05-24,2019-06-02,0,0,10-25%
PJT7427,Web App,2018-02-22,285,197908,9,3,High,6,56.2,0.493,3.1,0.51,333,48,257755,0.3024,6.8,0,2018-12-04,2019-01-21,0,0,25-50%
PJT2823,Web App,2019-08-06,105,145941,6,1,High,6,48.4,0.644,2.54,0.759,95,-10,132675,-0.0909,7.92,1,2019-11-19,2019-11-09,1,0,Under/OnBudget
PJT4430,Web App,2021-05-03,38,124650,6,4,Low,6,45.6,0.806,4.68,0.887,40,2,136704,0.0967,7.31,0,2021-06-10,2021-06-12,0,0,<10%
PJT3740,AI/ML,2021-08-29,400,64615,3,4,Low,5,18.3,0.267,4.36,0.521,481,81,86655,0.3411,7.25,0,2022-10-03,2022-12-23,0,0,25-50%
PJT2788,Mobile App,2018-12-12,345,148180,5,3,High,3,56.6,0.612,3.59,0.859,442,97,210445,0.4202,6.14,0,2019-11-22,2020-02-27,0,1,25-50%
PJT2952,AI/ML,2019-01-24,373,69253,7,3,Medium,4,67.3,0.393,5.02,0.657,317,-56,55139,-0.2038,8.87,1,2020-02-01,2019-12-07,1,0,Under/OnBudget
PJT4420,Internal Tool,2018-11-19,417,120832,4,4,Low,4,28.3,0.621,5.32,0.746,423,6,135332,0.12,9.21,1,2020-01-10,2020-01-16,0,0,10-25%
PJT4027,Web App,2019-05-27,60,479796,4,3,Low,5,65.2,0.79,5.72,0.707,55,-5,453311,-0.0552,9.16,1,2019-07-26,2019-07-21,1,0,Under/OnBudget
PJT4101,Mobile App,2021-03-20,120,29500,4,4,Medium,4,62.0,0.831,3.49,0.886,155,35,43374,0.4703,7.39,0,2021-07-18,2021-08-22,0,1,25-50%
PJT6873,Infrastructure,2020-08-02,273,387648,4,3,Medium,4,27.9,0.765,4.95,0.653,299,26,454827,0.1733,6.94,0,2021-05-02,2021-05-28,0,0,10-25%
PJT4588,Web App,2021-02-21,241,479519,4,4,Medium,5,39.1,0.624,4.37,0.758,180,-61,335663,-0.3,8.39,1,2021-10-20,2021-08-20,1,0,Under/OnBudget
PJT4845,Web App,2020-05-01,56,85675,5,3,High,5,24.1,0.692,8.68,0.859,71,15,116509,0.3599,6.94,0,2020-06-26,2020-07-11,0,1,25-50%
PJT6737,Mobile App,2019-01-12,305,7737,9,3,Low,5,44.0,0.709,5.46,0.867,249,-56,5416,-0.3,9.07,1,2019-11-13,2019-09-18,1,0,Under/OnBudget
PJT2417,Web App,2018-11-29,72,47601,6,5,Medium,7,51.7,0.782,5.16,0.594,86,14,63438,0.3327,5.63,0,2019-02-09,2019-02-23,0,0,25-50%
PJT4909,Data Engineering,2018-01-14,71,468080,4,3,Medium,3,25.2,0.568,4.91,0.783,104,33,809264,0.7289,6.74,0,2018-03-26,2018-04-28,0,1,>50%
PJT5745,Internal Tool,2021-02-14,171,96044,3,3,Medium,2,50.8,0.646,7.85,0.528,216,45,141358,0.4718,7.7,0,2021-08-04,2021-09-18,0,1,25-50%
PJT3772,AI/ML,2021-05-21,194,29758,7,2,Low,4,54.6,0.455,5.47,0.573,217,23,33627,0.13,8.81,1,2021-12-01,2021-12-24,0,0,10-25%
PJT6175,Internal Tool,2021-01-26,188,53867,5,3,High,4,54.8,0.627,8.03,0.942,219,31,60590,0.1248,6.78,0,2021-08-02,2021-09-02,0,0,10-25%
PJT7275,Internal Tool,2018-04-19,44,270694,8,3,High,6,51.8,0.844,6.77,0.708,58,14,417654,0.5429,6.87,0,2018-06-02,2018-06-16,0,1,>50%
PJT3249,Web App,2021-01-17,341,190247,7,2,Medium,3,26.6,0.631,7.89,0.699,422,81,245133,0.2885,6.73,0,2021-12-24,2022-03-15,0,0,25-50%
PJT4858,Internal Tool,2018-03-08,82,74108,8,1,Medium,5,43.2,0.538,6.39,0.616,84,2,80422,0.0852,9.89,1,2018-05-29,2018-05-31,0,0,<10%
PJT2625,AI/ML,2018-06-04,51,63565,4,3,Low,5,50.3,0.487,5.16,0.831,49,-2,61461,-0.0331,8.98,1,2018-07-25,2018-07-23,1,0,Under/OnBudget
PJT3749,Internal Tool,2019-10-06,348,61691,7,4,Medium,5,66.9,0.465,4.73,0.856,372,24,62777,0.0176,6.57,0,2020-09-18,2020-10-12,0,0,<10%
PJT3605,Internal Tool,2019-11-27,391,32634,4,3,Medium,5,45.0,0.349,4.01,0.443,467,76,42571,0.3045,7.52,0,2020-12-22,2021-03-08,0,0,25-50%
PJT2847,Mobile App,2021-04-06,332,685875,10,2,Medium,3,51.4,0.245,7.95,0.976,363,31,755080,0.1009,7.25,0,2022-03-04,2022-04-04,0,0,10-25%
PJT8207,Web App,2020-09-19,301,67051,6,3,High,10,31.0,0.605,5.83,0.793,367,66,90834,0.3547,6.93,0,2021-07-17,2021-09-21,0,0,25-50%
PJT9770,Web App,2018-08-12,222,425317,4,1,Medium,5,27.7,0.407,5.9,0.665,258,36,577368,0.3575,8.3,0,2019-03-22,2019-04-27,0,0,25-50%
PJT2136,Mobile App,2018-11-27,176,612668,4,3,Medium,4,25.8,0.513,3.83,0.843,200,24,654329,0.068,8.43,1,2019-05-22,2019-06-15,0,0,<10%
PJT4133,Internal Tool,2019-02-22,43,327084,4,2,High,4,38.7,0.743,5.06,0.761,53,10,443232,0.3551,7.67,0,2019-04-06,2019-04-16,0,0,25-50%
PJT2157,Internal Tool,2018-06-30,124,58809,7,2,Low,7,75.9,0.554,7.97,0.579,154,30,80357,0.3664,7.53,0,2018-11-01,2018-12-01,0,0,25-50%
PJT8452,Web App,2019-02-24,112,160248,4,2,Medium,3,39.0,0.643,4.19,0.648,124,12,193596,0.2081,7.43,0,2019-06-16,2019-06-28,0,0,10-25%
PJT8275,AI/ML,2020-11-29,80,95891,6,3,Medium,6,50.5,0.345,5.77,0.577,103,23,133317,0.3903,7.35,0,2021-02-17,2021-03-12,0,1,25-50%
PJT6413,Mobile App,2018-12-19,255,33375,4,1,Medium,2,53.4,0.901,2.77,0.747,282,27,37277,0.1169,8.93,1,2019-08-31,2019-09-27,0,0,10-25%
PJT5372,Web App,2021-05-04,155,145689,7,3,High,4,28.6,0.745,7.26,0.591,173,18,185783,0.2752,6.39,0,2021-10-06,2021-10-24,0,0,25-50%
PJT6611,Web App,2019-11-17,42,23984,8,3,Medium,4,38.5,0.489,3.66,0.824,52,10,32544,0.3569,7.43,0,2019-12-29,2020-01-08,0,0,25-50%
PJT2586,Mobile App,2019-04-17,71,410535,8,3,High,4,54.4,0.574,2.85,0.874,101,30,658868,0.6049,7.46,0,2019-06-27,2019-07-27,0,1,>50%
PJT3323,Data Engineering,2019-08-26,235,56526,8,3,Medium,8,51.4,0.745,2.53,0.718,300,65,76463,0.3527,7.51,0,2020-04-17,2020-06-21,0,1,25-50%
PJT1233,Mobile App,2020-11-01,41,125667,4,4,Medium,5,15.1,0.569,5.53,0.711,47,6,147269,0.1719,7.3,0,2020-12-12,2020-12-18,0,0,10-25%
PJT8916,AI/ML,2020-01-25,325,138683,3,2,High,8,53.9,0.451,4.41,0.868,385,60,171898,0.2395,6.87,0,2020-12-15,2021-02-13,0,0,10-25%
PJT1031,Infrastructure,2018-01-11,154,72353,7,3,Low,5,36.7,0.759,4.44,0.63,153,-1,74335,0.0274,9.34,1,2018-06-14,2018-06-13,1,0,<10%
PJT9951,Mobile App,2021-09-08,149,199592,5,1,Low,7,37.1,0.822,6.74,0.676,163,14,243762,0.2213,9.58,1,2022-02-04,2022-02-18,0,0,10-25%
PJT4203,Data Engineering,2018-04-07,194,55833,5,1,Medium,8,51.1,0.456,6.51,0.926,197,3,58223,0.0428,9.53,1,2018-10-18,2018-10-21,0,0,<10%
PJT6894,Data Engineering,2021-10-02,310,280845,2,3,Low,3,67.8,0.434,6.0,0.591,268,-42,244026,-0.1311,9.05,1,2022-08-08,2022-06-27,1,0,Under/OnBudget
PJT2794,Web App,2018-02-11,105,19630,4,3,Low,4,42.0,0.448,4.91,0.639,115,10,23491,0.1967,9.3,1,2018-05-27,2018-06-06,0,0,10-25%
PJT1761,Mobile App,2021-01-30,233,114881,2,4,Medium,6,62.7,0.783,6.91,0.701,256,23,137903,0.2004,6.76,0,2021-09-20,2021-10-13,0,0,10-25%
PJT5080,Mobile App,2020-02-20,182,1011267,9,3,Medium,4,23.4,0.562,3.67,0.64,234,52,1517608,0.5007,7.55,0,2020-08-20,2020-10-11,0,1,>50%
PJT1281,Mobile App,2020-01-09,82,29721,4,5,Medium,4,47.0,0.813,8.2,0.657,69,-13,21488,-0.277,6.17,0,2020-03-31,2020-03-18,1,0,Under/OnBudget
PJT5071,Web App,2018-04-17,342,43770,6,1,High,6,36.9,0.576,8.62,0.693,395,53,56910,0.3002,7.13,0,2019-03-25,2019-05-17,0,0,25-50%
PJT5625,AI/ML,2018-12-15,295,182899,2,1,Medium,2,49.2,0.289,4.81,0.814,324,29,189995,0.0388,8.75,1,2019-10-06,2019-11-04,0,0,<10%
PJT6978,AI/ML,2021-02-09,223,122455,7,1,High,4,40.6,0.624,8.81,0.266,295,72,176005,0.4373,9.05,0,2021-09-20,2021-12-01,0,1,25-50%
PJT5559,Web App,2021-07-25,325,150355,4,2,Low,2,24.9,0.604,2.42,0.499,331,6,143619,-0.0448,9.53,1,2022-06-15,2022-06-21,0,0,Under/OnBudget
